GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,income_group
221090009004,44,298,237,29,23750.0,237,119.0,129.97975222895897,32.6847308036038,0.0,0.0,0.0,0.0,38.333333333333336,1.1478260869565218,0.7953020134228188,1
220190028001,12,1972,1623,256,37759.0,721,119.0,337.2258825787759,40.01309114126098,0.0,0.0,0.0,0.0,12.0,1.0,0.8230223123732252,1
220399508002,15,1021,994,0,27778.0,382,82.0,381.371430426836,35.4570368461461,0.0,0.0,0.0,0.0,15.666666666666666,0.9574468085106383,0.9735553379040157,1
220399504001,12,1382,1260,114,38445.0,605,89.0,444.2999858260155,35.79076509641856,0.0,0.0,0.0,0.0,7.333333333333333,1.6363636363636365,0.9117221418234442,1
220399508003,15,1298,1039,250,37955.0,552,79.0,391.542859558016,36.2803207370261,0.0,0.0,0.0,0.0,16.0,0.9375,0.800462249614792,1
220399504003,17,1623,687,894,18462.0,652,85.0,408.11414709870127,36.25806254367395,0.0,0.0,0.0,0.0,10.666666666666666,1.59375,0.4232902033271719,1
220419501001,27,1418,981,409,36519.0,499,99.0,219.81999552249908,25.68229748782836,0.0,0.0,0.0,0.0,15.666666666666666,1.723404255319149,0.6918194640338505,1
220550020013,12,1289,570,708,34583.0,388,87.0,321.4529574761033,35.135531750552325,0.0,0.0,0.0,0.0,16.0,0.75,0.4422032583397983,1
220550021032,8,997,63,891,36473.0,375,84.0,308.3519499050557,34.46809184858468,0.0,0.0,0.0,0.0,9.333333333333334,0.8571428571428571,0.06318956870611836,1
220419506001,18,1191,570,608,22530.0,483,77.0,248.24999427795413,27.17365086494553,0.0,0.0,0.0,0.0,20.666666666666668,0.8709677419354839,0.47858942065491183,1
220419502003,20,1414,1095,319,38056.0,540,112.0,258.90000835061073,26.92191942287394,0.0,0.0,0.0,0.0,25.0,0.8,0.7743988684582744,1
220419503001,14,1819,1176,643,27107.0,665,91.0,259.30073266972266,26.531004088471445,0.0,0.0,0.0,0.0,16.333333333333332,0.8571428571428572,0.6465090709180868,1
220419504003,4,960,791,169,30000.0,436,74.0,243.52498934417963,26.963292753734493,0.0,0.0,0.0,0.0,16.333333333333332,0.2448979591836735,0.8239583333333333,1
220419505001,22,851,797,54,36222.0,431,92.0,263.0499990582466,26.987886516233303,0.0,0.0,0.0,0.0,20.666666666666668,1.064516129032258,0.936545240893067,1
221059539001,12,2541,1699,748,38206.0,803,134.0,133.69999837875366,28.316576589254986,0.0,0.0,0.0,0.0,10.666666666666666,1.125,0.6686343959071231,1
220730006001,0,1343,25,1318,35625.0,414,82.0,273.42565835397795,26.27329014998266,0.0,0.0,0.0,0.0,4.0,0.0,0.018615040953090096,1
220730059002,8,914,820,72,26543.0,483,82.0,239.4000005722046,26.909858235199284,0.0,0.0,0.0,0.0,12.333333333333334,0.6486486486486486,0.8971553610503282,1
220730106042,8,948,826,114,31250.0,366,87.0,278.80000999569893,26.93526073567708,0.0,0.0,0.0,0.0,6.0,1.3333333333333333,0.8713080168776371,1
220730001005,4,1183,615,568,21167.0,688,76.0,252.6477040505858,26.362589127727237,0.0,0.0,0.0,0.0,6.666666666666667,0.6,0.5198647506339814,1
221190312003,13,741,634,60,37500.0,312,72.0,125.0000001937151,18.164023371934192,0.0,0.0,0.0,0.0,17.0,0.7647058823529411,0.8556005398110661,1
220550021034,16,1649,1151,485,35446.0,732,102.0,311.1662962272682,34.48805168155622,0.0,0.0,0.0,0.0,14.0,1.1428571428571428,0.6979987871437234,1
221190314003,18,1038,921,105,33636.0,456,107.0,115.8666695356369,20.937885126891107,0.0,0.0,0.0,0.0,24.666666666666668,0.7297297297297297,0.8872832369942196,1
220790105003,16,1062,260,802,26983.0,469,96.0,470.30000495910645,33.57595222723008,0.0,0.0,0.0,0.0,16.666666666666668,0.96,0.2448210922787194,1
220790127001,17,1916,91,1804,17093.0,836,100.0,400.29999923706055,32.551157694548834,0.0,0.0,0.0,0.0,5.333333333333333,3.1875,0.04749478079331942,1
221059535001,30,1794,1571,195,32338.0,759,107.0,168.39999562501907,27.559986256189536,0.0,0.0,0.0,0.0,32.333333333333336,0.9278350515463917,0.8756967670011149,1
221059539003,21,2542,1642,852,38597.0,1115,188.0,152.2499958574772,28.28349575304697,0.0,0.0,0.0,0.0,32.666666666666664,0.6428571428571429,0.6459480723839497,1
221059537004,81,2509,2478,0,36624.0,1258,403.0,152.3600002527237,28.521683034065266,0.0,0.0,0.0,0.0,89.66666666666667,0.9033457249070631,0.9876444798724592,1
221059545024,9,1614,887,727,40074.0,739,107.0,99.47576430561524,28.87607475899649,0.0,0.0,0.0,0.0,18.0,0.5,0.5495662949194547,1
221059534002,16,1377,486,891,22413.0,491,74.0,122.09999895095825,27.734866914463797,0.0,0.0,0.0,0.0,19.666666666666668,0.8135593220338982,0.35294117647058826,1
221059532001,22,1315,1006,253,32813.0,494,104.0,152.25999975204468,27.152068091712263,0.0,0.0,0.0,0.0,15.0,1.4666666666666666,0.7650190114068441,1
220850003001,15,1425,701,229,27500.0,462,71.0,330.27912269167683,23.91448299255609,0.0,0.0,0.0,0.0,19.333333333333332,0.7758620689655172,0.4919298245614035,1
220850004003,15,2041,1253,319,31607.0,744,94.0,348.6062599420547,25.75639557401852,0.0,0.0,0.0,0.0,27.333333333333332,0.5487804878048781,0.6139147476727095,1
220279501003,21,1157,1048,97,34276.0,557,102.0,228.9250019080937,24.005425534216943,0.0,0.0,0.0,0.0,18.0,1.1666666666666667,0.905790838375108,1
220319503002,24,1726,715,953,27563.0,655,108.0,208.26389124337584,23.50681619407597,0.0,0.0,0.0,0.0,22.666666666666668,1.0588235294117647,0.414252607184241,1
220679506004,8,1367,912,455,25341.0,451,79.0,196.600003361702,24.229412012008694,0.0,0.0,0.0,0.0,12.666666666666666,0.6315789473684211,0.6671543525969276,1
221190313005,32,707,693,14,28323.0,395,94.0,126.47347135612762,18.06928714361792,0.0,0.0,0.0,0.0,27.666666666666668,1.1566265060240963,0.9801980198019802,1
220730058002,12,930,521,294,30804.0,412,110.0,235.94035005705302,26.737687269897787,0.0,0.0,0.0,0.0,9.333333333333334,1.2857142857142856,0.5602150537634408,1
221139502005,23,664,664,0,40250.0,262,141.0,228.47333049029112,38.04210917157605,5.29537024199,1.0,1.6176659,3.6777043419899997,22.666666666666668,1.0147058823529411,1.0,1
221139509023,53,3242,1540,1166,40436.0,1256,191.0,211.00000095367432,34.495167287698315,5.29537024199,1.0,3.9664242,1.3289460419899997,24.666666666666668,2.1486486486486487,0.47501542257865514,1
220150107014,8,1276,418,620,25693.0,821,124.0,142.07223113564484,19.528181693743683,0.0,0.0,0.0,0.0,6.333333333333333,1.2631578947368423,0.3275862068965517,1
220150107023,12,2605,1591,939,39401.0,1006,119.0,162.8083098605988,19.67537576293272,0.0,0.0,0.0,0.0,19.0,0.631578947368421,0.6107485604606526,1
220150105002,8,1073,476,500,29543.0,399,84.0,124.10041953184609,19.37613131688657,0.0,0.0,0.0,0.0,5.333333333333333,1.5,0.44361602982292636,1
220150111071,18,1359,495,819,34500.0,520,79.0,87.69999980926514,18.207998312883863,0.0,0.0,0.0,0.0,10.333333333333334,1.7419354838709677,0.36423841059602646,1
220150111051,0,1089,1059,30,40171.0,420,71.0,152.5278674133683,19.98396226612859,0.0,0.0,0.0,0.0,21.333333333333332,0.0,0.9724517906336089,1
220150111053,21,1147,1031,51,27449.0,507,88.0,167.59999799728394,19.91004536882124,0.0,0.0,0.0,0.0,23.0,0.9130434782608695,0.8988666085440279,1
220730053024,25,1163,1005,39,35329.0,609,108.0,239.7000032067299,26.674282667924547,0.0,0.0,0.0,0.0,21.666666666666668,1.1538461538461537,0.8641444539982803,1
220250003001,20,659,591,68,29669.0,331,77.0,275.2024312764406,30.750971860996746,0.0,0.0,0.0,0.0,21.0,0.9523809523809523,0.8968133535660091,1
220730111003,12,786,48,694,17102.0,315,66.0,246.99999889731407,26.58157989547253,0.0,0.0,0.0,0.0,8.666666666666666,1.3846153846153848,0.061068702290076333,1
220730058001,12,934,684,231,25658.0,480,76.0,233.70000004768372,26.72414832369784,0.0,0.0,0.0,0.0,20.666666666666668,0.5806451612903225,0.7323340471092077,1
220730059001,0,1532,1196,319,20854.0,562,75.0,240.08092055967114,26.89573966656901,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.7806788511749347,1
220039503001,19,712,703,9,22163.0,365,95.0,665.56561488547,36.2654579720264,0.0,0.0,0.0,0.0,10.333333333333334,1.8387096774193548,0.9873595505617978,1
220730101023,21,1986,833,1136,22623.0,625,108.0,258.9397985164788,25.7814783178024,0.0,0.0,0.0,0.0,18.0,1.1666666666666667,0.41943605236656595,1
220730101024,23,1936,1554,346,38050.0,645,117.0,257.00000424683094,25.66660616984527,0.0,0.0,0.0,0.0,22.0,1.0454545454545454,0.8026859504132231,1
220730102011,12,1713,122,1503,38164.0,706,107.0,238.04415644331112,25.93344143004118,0.0,0.0,0.0,0.0,13.0,0.9230769230769231,0.07122008172796264,1
220979601003,12,1466,1067,244,30671.0,530,75.0,271.7240025997162,33.66147605972126,0.0,0.0,0.0,0.0,17.333333333333332,0.6923076923076924,0.727830832196453,1
220090306002,13,1524,966,485,30652.0,636,93.0,326.53868238089456,32.89114579000971,0.0,0.0,0.0,0.0,14.0,0.9285714285714286,0.6338582677165354,1
220190024002,30,1222,1211,0,39543.0,366,105.0,338.5499917566776,35.238099106470656,0.0,0.0,0.0,0.0,16.666666666666668,1.7999999999999998,0.9909983633387889,1
220839701003,16,1295,928,367,38375.0,513,99.0,204.31102357480114,25.063550550363583,0.0,0.0,0.0,0.0,1.3333333333333333,12.0,0.7166023166023165,1
220839706001,27,1678,1192,457,31361.0,571,112.0,276.20000368356705,25.95797429812062,0.0,0.0,0.0,0.0,20.666666666666668,1.3064516129032258,0.7103694874851013,1
220839702002,8,898,629,269,28542.0,403,70.0,254.3333358168602,25.125649014911914,0.0,0.0,0.0,0.0,8.333333333333334,0.96,0.700445434298441,1
220839704001,55,1533,1341,159,40250.0,625,187.0,264.4599975347519,25.113946172148573,0.0,0.0,0.0,0.0,33.666666666666664,1.6336633663366338,0.8747553816046967,1
220839706003,22,1258,1155,91,34211.0,566,106.0,302.0631550550461,26.704158198401064,0.0,0.0,0.0,0.0,22.666666666666668,0.9705882352941176,0.9181240063593005,1
220659605001,0,2312,854,1435,36013.0,867,106.0,189.89999294281006,24.88434122870254,0.0,0.0,0.0,0.0,5.666666666666667,0.0,0.3693771626297578,1
