GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,race_group
220170241071,57,1757,616,1095,47813.0,681,109.0,112.69999825954437,19.39757550010488,0.0,0.0,0.0,0.0,53.666666666666664,1.0621118012422361,0.350597609561753,1
220550019033,71,3133,1623,1155,33106.0,1058,130.0,280.2000029683113,35.045604281363694,0.0,0.0,0.0,0.0,52.666666666666664,1.3481012658227849,0.5180338333865305,1
221030411031,66,1250,634,459,35076.0,462,118.0,176.43447600249266,32.06746010028687,2.7284926227,1.0,3.1866724,-0.4581797772999998,52.0,1.2692307692307692,0.5072,1
221030408032,31,1941,866,875,83390.0,651,88.0,194.59999918937683,32.316744814485354,2.7284926227,1.0,1.6175354,1.1109572227000002,31.0,1.0,0.4461617722823287,1
220510251041,37,2305,903,1226,44632.0,705,82.0,115.65674653173406,35.088941512256405,2.91350605135,1.0,-1.6929898,4.60649585135,24.333333333333332,1.5205479452054795,0.39175704989154014,1
220510278091,79,2522,1361,527,35221.0,628,106.0,126.00148923613713,35.19784818627901,2.91350605135,1.0,0.6985837,2.2149223513500003,67.0,1.1791044776119404,0.5396510705789056,1
220510280003,40,812,365,332,60909.0,350,122.0,150.700000166893,35.061298997989425,2.91350605135,1.0,0.37072948,2.54277657135,48.0,0.8333333333333334,0.44950738916256155,1
220510202021,28,2519,1469,483,33468.0,1103,81.0,123.32069541156834,33.400669234110616,2.91350605135,1.0,-1.773411,4.68691705135,23.666666666666668,1.1830985915492958,0.5831679237792775,1
220170205002,17,1584,139,1435,30781.0,579,90.0,109.73908122148198,19.149072245727435,0.0,0.0,0.0,0.0,26.666666666666668,0.6375,0.08775252525252525,1
220890627003,57,1847,1069,750,84444.0,678,133.0,162.60000240802765,32.82024912274456,0.0,0.0,0.0,0.0,63.666666666666664,0.8952879581151832,0.57877639415268,1
220170246011,20,3157,464,2693,21646.0,1006,93.0,75.69999933242798,18.76226053863618,0.0,0.0,0.0,0.0,42.333333333333336,0.47244094488188976,0.14697497624326894,1
220190009001,8,1636,427,1169,42500.0,718,94.0,453.05464918845104,41.39930720902719,0.0,0.0,0.0,0.0,8.0,1.0,0.2610024449877751,1
220190001001,0,1066,500,525,21910.0,569,73.0,436.67991504887027,42.10810446297271,0.0,0.0,0.0,0.0,15.0,0.0,0.46904315196998125,1
220050310001,59,1224,455,676,29809.0,275,79.0,111.43333416432142,28.951208152946915,0.0,0.0,0.0,0.0,42.333333333333336,1.3937007874015748,0.37173202614379086,1
220190011002,12,1930,1001,525,43546.0,827,82.0,433.2445794165422,40.912375969291126,0.0,0.0,0.0,0.0,15.0,0.8,0.5186528497409326,1
220170243013,42,2169,169,2000,49918.0,736,81.0,80.90000014007092,18.5825027849416,0.0,0.0,0.0,0.0,38.666666666666664,1.0862068965517242,0.07791609036422315,1
220890627001,61,1538,656,882,36392.0,719,90.0,159.40000349283218,32.4062217191329,0.0,0.0,0.0,0.0,42.666666666666664,1.4296875,0.4265279583875163,1
220890628001,55,2467,1246,1156,64844.0,843,155.0,162.20000052452087,33.07119429121917,0.0,0.0,0.0,0.0,62.0,0.8870967741935484,0.5050668828536684,1
220890628003,49,2010,752,1201,48182.0,648,118.0,161.9999978542328,33.0475280788842,0.0,0.0,0.0,0.0,36.333333333333336,1.348623853211009,0.37412935323383084,1
220890630001,59,1172,599,573,57794.0,484,79.0,155.00000190734863,33.51803646461153,0.0,0.0,0.0,0.0,36.666666666666664,1.6090909090909091,0.5110921501706485,1
220990205011,58,2901,1582,1135,27274.0,959,125.0,287.3000031709671,33.61666657482716,0.0,0.0,0.0,0.0,49.0,1.183673469387755,0.5453291968286798,1
220990203023,124,2326,1349,636,45160.0,773,150.0,240.89999771118164,32.68122062174306,0.0,0.0,0.0,0.0,90.66666666666667,1.3676470588235294,0.5799656061908857,1
